"Basic Fees Structure - Tier 1 - (chullikal , fortkochi, eraveli, palluruthi) Branch",,,,,,,,
10 Cbse,47500,43000,39400,40900,14400,10200,10200,6100
Plus One ,61000,55000,50400,52300,18500,13000,13000,7800
Plus Two,61000,55000,50400,52300,18500,13000,13000,7800
,,,,,,,,
Basic Fees Structure - Edappally Branch,,,,,,,,
Class,Annual Fees,"Early Bird
(₹)",6 Inst Plan            Full Amnt              (After Disc 2.5%),Inst Amount           (1st - 5th),Inst Amount      6th (Final) ,8 Inst Plan            Full Amnt             ,Inst Amount           (1st - 7th),Inst Amount      8th (Final) 
9 State,34500,"31,000","30,200","5,300","3,700","31,000","4,100","2,300"
9 Cbse,47500,"43,000","41,900","7,300","5,400","43,000","5,700","3,100"
10 State,34500,"31,000","30,200","5,300","3,700","31,000","4,100","2,300"
10 Cbse,47500,"43,000","41,900","7,300","5,400","43,000","5,700","3,100"
Plus One,61000,"55,000","53,600","9,300","7,100","55,000","7,300","3,900"
Plus Two,61000,"55,000","53,600","9,300","7,100","55,000","7,300","3,900"
,,,,,,,,
,,,,,,,,
Intrmediate Fees Structure - Edappally  Branch,,,,,,,,
Class,Annual Fees,Early Bird,OTP,Quarterly       (5% Disc),Quarter 1,Quarter 2,Quarter 3,Quarter 4
9 State,45500,41000,37600,39000,13600,9800,9800,5800
9 Cbse,59000,53000,48600,50400,17600,12600,12600,7600
10 State,45500,41000,37600,39000,13600,9800,9800,5800
10 Cbse,59000,53000,48600,50400,17600,12600,12600,7600
Plus One ,72500,65000,59600,61800,21500,15550,15550,9200
Plus Two,72500,65000,59600,61800,21500,15550,15550,9200
,,,,,,,,
,,,,,,,,
Intrmediate Fees Structure - Edappally  Branch,,,,,,,,
Class,Annual Fees,"Early Bird
(₹)","6-Inst Plan
Discounted Amt
(EB×97.5%)","INSTALLMENT AMOUNT ( 1-5)
Inst 1
(₹)",LAST INSTALLMENT,"8-Inst Plan
Full EB Amt
(₹)","INSTALLMENT AMOUNT ( 1-7)
Inst 1
(₹)","LAST INSTALLMENT
Inst 1
(₹)"
9 State,45500,"41,000","40,000","6,700","6,500","41,000","5,200","4,600"
9 Cbse,59000,"53,000","51,700","8,700","8,200","51,700","6,500","6,200"
10 State,45500,"41,000","40,000","6,700","6,500","41,000","5,200","4,600"
10 Cbse,59000,"53,000","51,700","8,700","8,200","51,700","6,500","6,200"
Plus One ,72500,"65,000","63,400","10,600","10,400","65,000","8,200","7,600"
Plus Two,72500,"65,000","63,400","10,600","10,400","65,000","8,200","7,600"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Advanced Fees Structure - Edappally  Branch,,,,,,,,
Class,Annual Fees,Early Bird,OTP,Quarterly       (5% Disc),Quarter 1,Quarter 2,Quarter 3,Quarter 4
9 State,47500,43000,39400,40800,14300,10200,10200,6100
9 Cbse,61000,55000,50400,52200,18400,13000,13000,7800
10 State,47500,43000,39400,40800,14300,10200,10200,6100
10 Cbse,61000,55000,50400,52200,18400,13000,13000,7800
Plus One ,74500,67000,61400,63600,22300,15900,15900,9500
Plus Two,74500,67000,61400,63600,22300,15900,15900,9500
,,,,,,,,
Advanced Fees Structure - Edappally  Branch,,,,,,,,
Class,Annual Fees,"Early Bird
(₹)",6 Inst Plan            Full Amnt              (After Disc 2.5%),Inst Amount           (1st - 5th),Inst Amount      6th (Final) ,8 Inst Plan            Full Amnt             ,Inst Amount           (1st - 7th),Inst Amount      8th (Final) 
9 State,47500,"43,000","41,900","7,300","5,400","43,000","5,700","3,100"
9 Cbse,61000,"55,000","53,600","9,300","7,100","55,000","7,300","3,900"
10 State,47500,"43,000","41,900","7,300","5,400","43,000","5,700","3,100"
10 Cbse,61000,"55,000","53,600","9,300","7,100","55,000","7,300","3,900"
Plus One,74500,"67,000","65,300","11,400","8,300","67,000","8,900","4,700"
Plus Two,74500,"67,000","65,300","11,400","8,300","67,000","8,900","4,700"
